微博id,微博内容,微博发布时间
N0XPGDiXI,我方和荷兰通话，希望荷兰秉持契约精神，坚持市场原则、世贸规则，维护中荷两国和双方企业共同利益，维护全球产业链供应链畅通。结合此前高级别访问及参观的企业，懂的都懂。半导体昨天也基于基本面预期，周期类走好。前一轮快速上涨快速下跌，经历一轮证实证伪后，基于二季度能见度，又开始一轮基于...全文 ,2023-05-17 08:21
N0S2Y88Uc,"转发理由:有两条狗，一条叫脱口秀，一条叫脱口秀的粉丝。冒犯得很没有水平，对不住了两条狗。  魏先生别怕这些狗，您姓的是魏征的魏。  
原始用户: 环球时报
转发内容: 【#曝光HOUSE不当言论男子称遭网暴#：录音属实，希望你们明白是非】@极目新闻 ：5月13日，笑果文化脱口秀演员HOUSE（李昊石）近日在表演时，所用的包袱被指侮辱人民子弟兵，已被笑果文化无限期停止演出工作。另据北京晚报，北京市文化执法总队已对相关公司进行立案调查。目前，现场的不当言论已在网络...全文 原图 ",2023-05-16 17:37
N0Q7bfn1g,MR咱们这应该人均耳熟能详，没啥好聊的啊。尬聊？交易的核心就两个：1、是否是6月发布9月出货。如果是，这个位置推上去，如果不是，推上去A一下，再推上去。2、只能交易确定能拿到单子的标的，讲故事的千万别碰，因为讲故事的不是被股友证伪，是会被苹果证伪。苹果证伪A杀下来，跑不掉。3、要信早...全文 ,2023-05-16 12:42
N0Pi73BNv,“生意模式很差”的行业，今年往往有预期差，毕竟“差”，所以有一点改善就超预期。这种预期差，之前在充电桩，目前看，封测也逐步形成这种预期差了，如果认真去看，二季度封测的能见度不错了。  ,2023-05-16 10:36
N0PcDgMg6,"转发理由:dlsbxny涨的少的还在走自己的趋势，涨多了的内部轮动，到目前没有成为谁的血包，所以抽血论可以放下了，正常看轮动吧。算力还在调整中，所以，前期涨多了的AI杂毛跌得比较凶。  
原始用户: 唐史主任司马迁
转发内容: 电力也提前喊过了吧，新能源也哔哔多次了。今天反馈的就是dlsbxny。不过现在去追没啥意思，搞不好，轮动一下又到母机军工了。反正就是低位轮动。然后半导体在G7之后，要么反馈扩产，要么反馈自主可控，两样总有一样。AI今天就剩教育还在抱团，我还是原来的看法：算力没有调整到位，算力没有有效反...全文 ",2023-05-16 10:22
N0Ou0c12k,昨天市场反弹，反弹呈现底部轮动的模式，AI主要品种继续调整。成交量小有恢复，接近9400亿，离前期交投活跃的水平，还少了一千多亿。市场此前担忧，大盘股快速抬升后的回调是否会造成流动性被套牢，我个人觉得不会，毕竟全中的流动性好，想走还是可以走的。小盘股A杀反而会造成流动性的永久损伤，因为...全文 ,2023-05-16 08:32
N0K6CjHEi,美国5月纽约联储制造业指数-31.8，预期-2.5，前值10.8哦吼  ,2023-05-15 21:24
N0GWuhH8K,这个财神咒指导也太具体了：XXXX，XXXX，梭哈  原图 ,2023-05-15 13:21
N0FFggw9p,电力也提前喊过了吧，新能源也哔哔多次了。今天反馈的就是dlsbxny。不过现在去追没啥意思，搞不好，轮动一下又到母机军工了。反正就是低位轮动。然后半导体在G7之后，要么反馈扩产，要么反馈自主可控，两样总有一样。AI今天就剩教育还在抱团，我还是原来的看法：算力没有调整到位，算力没有有效反...全文 ,2023-05-15 10:05
N0Fk6BdC0,可能是吃的药里有帮助睡眠的成分，睡过头了。今天裸开了。整体来看，如果AI反弹个股带不动盘面，那么低位逻辑会继续强化。不用太悲观，但量恢复之前，也别太乐观。  ,2023-05-15 09:13
N0novdfLy,分享图片  原图 ,2023-05-13 11:35
N0iyXvuhv,1.无效社交大多数是愉悦的，因为在无效社交中，你可以随心所欲地选择社交对象。但有效社交往往要磨合人的事、事的事，会让人痛苦。把无效社交的感官体验强加到有效社交上，是舍本逐末。2.有效社交的核心元素是：互相了解、信任与包容、共同利益。互相了解不是单一的背景了解性格了解，而是在处理人...全文 ,2023-05-12 23:17
N0io4Evaa,约了一个专家，十来分钟聊完了。专家说：你问的其余问题我不好讲，能讲的已经讲完了，要不先到这吧，其它的你也懂。然后又说计费和平台协调一下，按一个小时太亏了。就回答的问题来看，真专家。以后真专家不好聊了。  ,2023-05-12 22:50
N0facw2fY,一般这么跌的时候，我都会买一些，尽个多头义务。但今天下午看了一个小时，也没想好买点啥，总不能去买ETF吧  ,2023-05-12 14:38
N0dwyhZl7,"转发理由:周一就明确看回归均衡，不要把锅甩我头上。至于AI，我再说一遍，我看好行业，但不看好现在的粪坑故事。啥时候算力调整完，啥时候下一波开始。至于大模型，啥时候双新审核出结果，啥时候开始优选。应用画饼后面越来越难，要有真东西。不要再讲“抽血”的故事了，四月过来的机构都亏钱的，没人信了。  
原始用户: 唐史主任司马迁
转发内容: 财经委会议各方解读已经很多了，短期对市场的正向影响，已经体现在周末的情绪里。从中期看，参与两个主题汇报的职能部委，后续大概率会落实会议进行，出一些行业政策的，这是后续跟踪的重点。至于长期影响，也就是明确了实体经济和底层人口素质的重要性。这两个命题放在一起讨论，是明显有着面向长期产...全文 ",2023-05-12 10:27
N0cUV92ZH,有些东西逻辑完全不禁推敲比如，一个女网红，做AI分身，可以覆盖几十倍的粉丝，然后赚大钱。故而推导出：所有明星都可以做分身，增量覆盖几十倍人，经纪合同大赚。我勒个去，刘德华覆盖了一亿多人，然后你还要他几十倍？咱先去格陵兰给人装5G吧。中国演艺行业协会里头的几千个亿人，人人都有大几千...全文 ,2023-05-12 08:54
N0cNnFNNB,昨天市场开始出现显著缩量，前期热门股除了传媒外，都在回调。这个回调是在预期内的，虽然还会呈现抵抗式下跌的模式，但在缩量筑底之前，高位回调还会继续。场外原因很清晰了，四月的信贷数据要被诠释为通缩症候也不难。至于场内我前几天也说过了，4月漂移出来做AI的基金，不少亏了十几个点，市场“Ai...全文 ,2023-05-12 08:36
N04oT0TNe,汽车、新能源这种，其实不大适合做扩散。反弹本来就是要打高度，你做一堆扩散，核心没有高度了，咋扩散。说白点，还是各人都有自己的票要救导致的。所以更多还是看趋势吧，放低斜率的要求。低位轮动今天到母机了，这个也是很确定的扶持方向，只是市场关注度不如半导体而已。  ,2023-05-11 11:13
MFSsnyZyM,"转发理由:创板率先翻红，且看持续性  
原始用户: 唐史主任司马迁
转发内容: 倾向创板指数会在本周或者下周G7磨出底部，科创板指数跌幅大致完成了，还需要时间整理。  ",2023-05-10 11:18
MFSpmeCQG,汽车的先导是商用车，这个喊过很多次了，但别追了；电池的先导是PET，这个信号很明显，但别追了；汽车周边，先导是充电桩，这个也喊很多次，但别追了；整车和汽配有不少触底的，锂价最近也稳了。或许只是交易一下高频数据。但即使在这里WWWWWW，也是底部震荡。从数据来看到北京车展的时间点，肯定...全文 ,2023-05-10 11:10
MFRT83fAA,倾向创板指数会在本周或者下周G7磨出底部，科创板指数跌幅大致完成了，还需要时间整理。  ,2023-05-10 09:51
MFRnm2K5H,昨天盘面博弈很厉害，周一还是中字头和AI良性轮动，周二大金融走强后，市场就崩了。虽然交易量还在攀升，但这三个胖子也太胖了些，一起出门门又挤塌了。就一般经验而言，今天明天是要进行修复的。但从催化上看，这几天可能出现一些更为吸睛的催化，原来是三个板块博弈，后面可能是4个板块博弈。基于这...全文 ,2023-05-10 08:32
MFKBa1zfu,"转发理由:新兵怕炮，老兵怕号。凡属一起喊口号，就要亏钱。 但只要交易量在，震完修复就是了。  
原始用户: 唐史主任司马迁
转发内容: 早上有点事，就不码字了。高股息低PB个股上涨，不管是银行下调存款利率，还是险资调整会计准则，亦或国家队得到资本补充，不管是啥解释，核心还是高股息+低PB。这和什么价值年什么中特估关系不大，这些标签不外乎是想多忽悠一些场内资金来，但这些东西会涨，更多是因为场外有钱来。场外有钱来，最终...全文 ",2023-05-09 15:17
MFHPCjnMc,早上有点事，就不码字了。高股息低PB个股上涨，不管是银行下调存款利率，还是险资调整会计准则，亦或国家队得到资本补充，不管是啥解释，核心还是高股息+低PB。这和什么价值年什么中特估关系不大，这些标签不外乎是想多忽悠一些场内资金来，但这些东西会涨，更多是因为场外有钱来。场外有钱来，最终...全文 ,2023-05-09 08:15
MFzmsjQI8,今天走得比较健康，只要不是长期一家独大的格局，能轮动起来，那么一万亿以上的交易量是可以支撑三个主线轮动上涨的。  ,2023-05-08 10:41
MFyF4u8Tl,"转发理由:我国可重复使用试验航天器成功着陆【新华社】是这个，去年8月发射的。 下一步，坐等大功率一级火箭回收试验了。  
原始用户: 共青团中央
转发内容: 【#我国可重复使用试验航天器成功发射# ：为和平利用太空提供技术支撑】2022年8月5日，我国在酒泉卫星发射中心，成功发射一型可重复使用的试验航天器。试验航天器将在轨运行一段时间后，返回国内预定着陆场，其间，将按计划开展可重复使用和在轨服务技术验证，为和平利用太空提供技术支撑。（新华社）...全文 原图 ",2023-05-08 08:54
MFyt8BAhq,财经委会议各方解读已经很多了，短期对市场的正向影响，已经体现在周末的情绪里。从中期看，参与两个主题汇报的职能部委，后续大概率会落实会议进行，出一些行业政策的，这是后续跟踪的重点。至于长期影响，也就是明确了实体经济和底层人口素质的重要性。这两个命题放在一起讨论，是明显有着面向长期产...全文 ,2023-05-08 08:25
MFqtvcDNY,最近这几天，电子（半导体）的买方和卖方都在反思，为啥这么多A杀回来。面上看，这是股价的问题，但深度分析下来，更多是二级认知问题和估值模型问题。当下的状况是，不管是买方还是卖方，大多数研究员都是理工科出身，很容易基于当下的数字来看待问题，面对数字，自然会严谨到甚至刻板。和其他行业...全文 原图 ,2023-05-07 12:03
MF7hjqhMd,轮动证券可以理解，银保和证券关系比较紧密。但地产突然拉起来就不理解了。  ,2023-05-05 11:11
MF611BIZj,今天再交易一天，又是周末，盘面最重要的任务，是选出下周的方向。游戏传媒的不少股票，都到了十个交易日翻倍的监管门槛，按照以往的经验，这部分可能要歇一歇。不排除个别股票会被推出去试水监管态度，但相对谨慎的资金在这个位置，会寻找其他的方向。算力、大模型、应用这三个板块，按照以往的经...全文 ,2023-05-05 07:58
MF0CBzTn8,全攻全守必然净值大起大落，不仅要求心理承受能力要强，对操作胜率的要求也更高。攻守兼备的配置模式，收益必然会被拖累，但如果心态不好，反复横跳，也会两头挨打。Ai、中字头和半导体这三个板块开年来都提供了足够多的跑赢市场平均收益的机会。但大概率有很多人是三个板块都参与了，还亏钱。杀猪...全文 ,2023-05-04 18:14
MEXuipxww,节前增配的防御品种在上涨，对冲了前期强势品种的下跌，今天估计又是青翼蝠王吸自己血，白玩。  ,2023-05-04 10:16
MEWSL7Wx8,"转发理由:回复@Ultra2023:三代半导体是自身行业逻辑，和AI、半导体设备这种没啥直接关联。我还是原来的观点，什么时候三代半导体走独立趋势，那么意味着半导体独立行情开始。//@Ultra2023:英飞凌签约国产碳化硅  
原始用户: 唐史主任司马迁
转发内容: 这个节假日，财经方面的信息并不多。沟通了一圈，正经在投研的不多，大家都在过节的状态，毕竟是疫后第一个大节假。估计本周这两个交易日，除了反馈节假期间的累积因素外，会相对清淡。首先负面的因素汇总一下。美国的中小银行危机还在继续，之前咱们也聊过，只要加息还在继续，且没有强干预，那么...全文 原图 ",2023-05-04 08:43
MES7gAcB4,关于“饱满”这次出行的时候，遇到了一位很有意思的小学老师。有点发福，目测一百七八十斤。是因为没有票，所以买了前舱。一般而言，第一次坐前舱，多少会有一些局促感，但是她没有，既没有紧张也没有不安，倒是充满了新奇感和探索的乐趣。因为坐得临近，所以她会问我这个那个，我和她说，您是教书...全文 ,2023-05-03 20:35
MES3HeJHZ,这个节假日，财经方面的信息并不多。沟通了一圈，正经在投研的不多，大家都在过节的状态，毕竟是疫后第一个大节假。估计本周这两个交易日，除了反馈节假期间的累积因素外，会相对清淡。首先负面的因素汇总一下。美国的中小银行危机还在继续，之前咱们也聊过，只要加息还在继续，且没有强干预，那么...全文 原图 ,2023-05-03 20:26
MEEjCyYvv,过节有点过傻了，都有啥重要资讯？  ,2023-05-02 09:27
ME6aNefls,分享图片  [组图共2张] 原图 ,2023-04-28 18:32
ME5qYi8fr,节日快乐🍾️🎉🎆  ,2023-04-28 16:39
ME4K5v6Dq,"转发理由:转发微博  
原始用户: 解放军报
转发内容: 【中共中央政治局召开会议 分析研究当前经济形势和经济工作 中共中央总书记习近平主持会议】中共中央政治局4月28日召开会议，分析研究当前经济形势和经济工作。中共中央总书记习近平主持会议。　　会议认为，今年以来，在以习近平同志为核心的党中央坚强领导下，各地区各部门更好统筹国内国际两个大局...全文 原图 ",2023-04-28 14:54
MDWYDwmRX,19-23年这波股民，其实没有遭受过多少毒打。没有经历过漫长的09-13年，没有听过小王熔断后下班的笑话，也没有见过全世界都没有的价值投资运动，没有学习过“L”。所以他们现在觉得难受很正常，毕竟19-23会抱团就能赚钱，而在这之前，我们经历的是，很多时候不管怎么做都亏钱。只要想想“不管怎么做...全文 ,2023-04-27 19:07
MDT0OlnyX,简单主观判断一下1、一季报接近尾声，本季过于强调业绩，行业周期、产业估值将逐步回归；2、超跌部分开始修复，对于公募而言，如果买入后三个季度可以锁定20%的空间，那么他们就会买，毕竟年化20%的业绩表现，对他们来说已经非常可以。3、AI本身进入去伪存真的阶段，消费资金调仓完毕后，市场将进...全文 ,2023-04-27 09:02
MDL7JrBie,看一下上证指数的低点，从2018年过来，分别是：贸易战第一轮、加征关税、武汉封城、全国疫情第一轮、上海封城、管控放松。在这过程中，科技战、地缘紧张，俄乌冲突，联储加息等等，一直都存在，环境就从来没有轻松过。主导触底的，大多还是内因。现在不外乎是政策刺激强度的问题，内需和出口恢复速...全文 ,2023-04-26 12:57
MDKjnDwjV,创业板触达上次底部，开始修复，看创成长ETF比创指ETF，更有前瞻性。  原图 ,2023-04-26 10:53
MDJhfu1Zs,晚间偏利好的消息较多，微软、米哈游这种非A股利好也可以缓解情绪。算力方向、设备方向，都有业绩反馈。设计这种利空施放也接近尾声。或许还有因为筹码结构而惯性下跌的，但今天分化企稳的概率较大。我已经进入半休假状态，有机会的话，跟着盘面拿点五一后要做的品种。没机会就休息。今天就不码长...全文 ,2023-04-26 08:15
MDF01iPpR,私信我其实没多大作用，大多数都是漠视周期和行业景气度被套，然后叠加最近两个月的抽血伤害。这种其实我没好建议。很多套，即使基本面不错，也要两年才能解，比如最近的游戏传媒，里面的人少说也套了两年。  ,2023-04-25 21:21
MDC2srhTD,市场总是在进化，不管适应还是不适应，节奏都会随着信息的扁平化和量化占比提升而变快。我总结了最近操作的几条经验：1、底部交易确定性时要像量化，底部买够。分批逐次交易成本会被快速提高。2、不要在非主线的地方拿着基本面不行的个股等兑现，尤其是业绩期。3、降杠杆要快，哪怕降错了错过机会...全文 ,2023-04-25 13:49
MDAFijB8D,这市场太极致了，量化现在不足助跌，是直接往跌停摁。  ,2023-04-25 10:19
MDA0y9ZfM,先复盘一下本轮调整。从上周开始，市场就开始博弈月底的政策指向及空间。原来市场是预期有类似强刺激的政策，所以对指数以及指向强复苏的品种都有较大的预期。但连续几个重要部门的吹风都和市场的预期不一致，所以借着AI+半导体冲高，开始调整，且调整的过程用了中特估作为殿后品种。从既往的经验来看...全文 ,2023-04-25 08:39
MDt86n8RU,今天下午买方在传一些事情，我个人判断，是传变味了，以至于市场情绪很差。建议找各自靠谱的专家聊一下，可能聊完了，会有正确的认知。这方面，还是北京的资金稍微格局一点，起码能做到不传谣不信谣（结果是挨砸）。一惊一乍的，容易丢掉核心筹码。本条我主动开启评论精选，不让一帮爱哔哔的在评论...全文 ,2023-04-24 15:08
MDs2XwRrb,关于量化，我直观的感受是这样的。在前些年这种聚焦的行情里，配仓内总会出现几只翻倍甚至几倍的票，放那自己就翻上来的，然后对冲掉各种配错的渣渣，还能富裕一些。也就是说，对配置和操作都比较友好，有容错空间。去年过来，尤其是今年，感觉配置压力很大。一方面，低位配错的比以往跌得更凶，因...全文 ,2023-04-24 12:23
MDry9vsiG,核心仓今早还是被锤了一下，还要，准备计提-3的，看修复情况了。今天下午或者明天，应该会修复一下。杂毛这两天砍了不少，仓控基本完成了。接下来等节前看有啥错杀的加一加，过节仓位会稍微高一些。因为手里的东西都不太想卖。  ,2023-04-24 11:07
MDmXHzSNQ,今年的第一次深改委会议召开了，从通稿来看，《关于强化企业科技创新主体地位的意见》、《关于加强和改进国有经济管理有力支持中国式现代化建设的意见》、《关于促进民营经济发展壮大的意见》三个和二级市场关联比较大，这三个都是指向“企业”的。这和之前核心部委不断推动的“创建一流企业”“专精特...全文 ,2023-04-23 23:26
MDmWy9X0S,BAAI（智源）发布的内容 唐史主任司马迁的微博视频  ,2023-04-23 23:23
MDhmdy59J,"转发理由:别给小西八任何赚钱的机会，让他继续赤字扩大。 尤其请山东的朋友，今年下半年白菜改种上海青。  
原始用户: 人民日报
转发内容: 【#中方向韩驻华大使提出严正交涉#】#敦促韩方在台湾问题上谨言慎行# 4月20日，外交部副部长孙卫东奉命就韩国领导人涉台湾问题错误言论向韩国驻华大使郑在浩提出严正交涉。孙卫东指出，世界上只有一个中国，台湾是中国领土不可分割的一部分。韩国领导人对一个中国原则只字不提，却将台湾问题同朝鲜半岛...全文 ",2023-04-23 09:10
MDd6Tkk68,你认为这四个任务，哪个最难？ 你认为这四件事哪个最难？  已,2023-04-22 22:21
MD9cIbhGE,"转发理由:转发微博  
原始用户: TenNor丹罗
转发内容: 这是19年夏天我在老家拍摄的素材，当时只是想记录下姥姥当农奴时候的故事，一直没找到合适的时间发出来，今年西藏和平解放70周年，这作为孙子辈的我再看那次对话又是一种别样的心情。  听说视频里面的庄园现如今作为文化遗产被国家保护起来，已经不允许拍摄了。姥姥在那里当了半辈子农牧，看着周边的...全文 ",2023-04-22 12:25
MD1s81BfK,每次考80分的时候，都有冲冲看能不能考95的想法。然后必被一通暴打。或许是自己天份差。或许是大A手法精湛，总是让人膨胀后再割会更肥美些。  ,2023-04-21 16:41
MD0sLcRHk,就是量化助涨助跌而已，什么美国blabla，其实都是去年就一路唱过来的旧闻。掐巴这么久了，桌子都掀翻八回了，哪还有什么新牌可以打。所以，硬货下午都拒绝下跌了。  ,2023-04-21 14:10
MCZwRxluF,上午硬生生吃了两个跌停，净值毛估估-3.5%，这还是有对冲品种的背景下。虽然砍了杂毛仓控，但今天可能创下年内最大净值跌幅。量化昨天助涨今天助跌，情绪转换很难预判，博弈越来越难。午餐先把面吃了  ,2023-04-21 11:47
MCZ5XyCnz,今天盘中震荡杀伤力挺强的，接到的好几个票，都有碎单。  ,2023-04-21 10:41
MCYQ5zi6o,转发微博已被删除,2023-04-21 10:02
MCYyQ91WE,"转发理由:作为前后购置多台别摸我的品牌忠实用户，看到这个声明，早饭都要吐出来。 把锅交给礼仪小姐姐，再呼吁对礼仪小姐姐宽容？？？我TM是小学都没上过吗？是看不出来这里偷换的辩题吗？ 上海车展，发600份冰淇淋，你他妈侮辱谁呢？要不，您伟大的总裁来中国，就是为了接见这600“我有冰淇淋”的粉丝 呸！  
原始用户: MINI中国
转发内容: 各位MINI的新老朋友们，大家好。首先要跟大家郑重道歉，因为这次上海车展事件，MINI占用了公共资源，对给大家带来的负面体验和心情，我们再次深深地表示歉意。来过车展的朋友们应该都知道，车展现场温度一般比较高，MINI这次原意是想为来到我们展台的朋友们提供一份初夏的“凉爽”，让大家能够更开...全文 ",2023-04-21 09:19
MCRwA1Fug,村龙的市值怎么算，这个问题在上市时就清清楚楚明明白白讨论过。市值是啥意思？一个公司值多少钱，一个公司别说AH上市，就是分成十块上市，也应该是十个上市地的价值之和。董秘连续答了三遍，计算公式为：总市值=A股当日收盘价*A股股本+港股当日收盘价*港股股本*人民币外汇牌价。卖方如果连董秘的算...全文 [组图共3张] 原图 ,2023-04-20 15:24
MCOYfpFQj,大模型方面，除了关注各个大厂外，我个人觉得质谱华章也不错。目前只烧到B轮，出来的东西就已经到62亿参数了。有1300 亿参数的GLM-130B ChatGLM正在内测开发中。C端硬件要求也比较低，户可以在消费级的显卡上进行本地部署（INT4 量化级别下最低只需 6GB 显存）。从国内大厂的角度看，如果技术积累不...全文 ,2023-04-20 08:54
MCOS8nam5,晚间的消息面还是很丰富的，首先是孟女士表示算力需求增长的幅度能见度是500倍。要知道她是CFO出身，CFO说话本身都是比较保守的，如果换原来的某个轮值主席说，数据可能会更夸张。这个表述会在早盘开盘就得到反馈。上海也除了算力资源统一调度的指导意见，到今年年底的目标是接入4个以上算力基础设施...全文 ,2023-04-20 08:39
MCHBpDOQQ,好好的盘面，一定要互相卷，互相卡位，隔日轮动都来不及，一定要当日轮动。要不，用秒线交易好了。卡高兴了吧，谁也别涨，都吐回去。  ,2023-04-19 14:09
MCGzefp0S,潜伏标严重跑输市场标。扔掉狙击伪装冲下山坡，能抢更多。还是匪帮大佬说得对：街头火拼时，冲锋枪和手榴弹，比手枪更好。  ,2023-04-19 11:31
MCFkrCcYq,昨天盘面虽然赚钱效应还可以，但是整体呈现跌多涨少的格局，3500+收绿。预计再有一两个交易日，市场会再度达到平衡。现在主要的问题是，市场从聚焦到扩散的速度很快，一扩散，交易量就不够，交易量不够立即回调。这种小周期变化加速，也有量化助涨助跌的因素。对于交易而言，高位切换的频次一提高，大...全文 ,2023-04-19 08:21
MCzfVaEn1,挖票出身的个人投资者都有个臭毛病，觉得自己懂得多，很喜欢在聊一个具体问题时，拿比常识略微深那么一点的认知教育别人。这样会导致他无法再认知提升，也会影响旁听的效果。来个场景吧：可能A带了自己的买方研究员，还合规地通过卖方约到了某个董秘，交流过程中，董秘不断抱歉，因为总有电话是必须...全文 ,2023-04-18 16:54
MCxefCnrN,一季度GDP在疫情和春节的两个因素影响之下，达到4.5还是不错的。至于4.5的基础上是刺激还是不刺激，这个问题本身设置的前提就是错的。大的背景应该是我们何时结束“逆周期+跨周期”调节，而不是单季度的GDP水平。从外部环境来看，随着联储的加息周期结束，全球逐步恢复宽松，我们作为疫情三年使用...全文 ,2023-04-18 11:44
MCx1ChyAp,今天盘面看杂毛票很清楚，没有明显的个股利空，但是跟着板块跌下来，完全没有人维护，像孤儿。这种票，想搞反弹是很难的，一般都要A掉一大半涨幅才有人看。  ,2023-04-18 11:13
MCvZ7B4Ck,已经进入年报一季报密集区，同步的减持公告比较多，市场现在交易量都在万亿以上，对减持的敏感度下降，但集中减持还是多少会有情绪影响。或者换一句话说，其中也包含一些发布了减持公告，实际上并不会大比例减持的企业，只是为了降低市场的整体热度。从我个人的角度，我更希望有足够的做空工具，对冲工...全文 ,2023-04-18 08:34
MCqiaFH9F,咱的大火箭啥时候出？  [组图共2张] 原图 ,2023-04-17 18:05
MCpEPF72E,有点魔怔，无法理解，为啥消费就一定是指向“夜间经济”呢？白天就不能消费是吗？银样蜡枪头一出又一出的，看着烦。坐五百公里火车去吃烧烤，就比在家楼下吃烧烤更值得鼓励？穷tm折腾是消费？那要不每天晚上北京的出发去上海吃菜墩子，上海的夜里出发赶北京早上吃糖油饼，搬铺盖卷住火车上得了。大...全文 ,2023-04-17 16:28
MCnszzcxN,我的观点还是倾向前期优势板块在这里都会内部分化和整固，用几天时间做一个内部筛选，然后再上行。至于流出的资金搞搞低位的，也很正常，毕竟好多票真的有业绩。没到讲均衡配置的时候，指数向上一个平台，然后登台敲锣又唱一出的，还是第一波优选出来的名角。高切低产生的机会当打野做，经得起调整...全文 ,2023-04-17 10:52
MCmGVw5tz,当周期临近，拐点临近时，一定不能听“深度研究”的人教你怎么操作。他们只会灯下黑告诉你不要买不要买不要买。你只需要问他哪一个能在继续恶化的状况下活下来，他们会跟你哔哔一大通怎么怎么都不好，但谁谁谁可能能活下来吧。然后你就干谁谁谁就好了。多学港片里的阿sir，等古惑仔打差不多了，拿大喇...全文 ,2023-04-17 08:55
MCmsBkx2y,周末的信息量非常密集，外事活动中，巴西客人第一站去了华为上海所，之后也看了比亚迪。表现了对中国新兴产业的浓厚兴趣，这也意味着，中巴产业合作的深度，将会是后续的重点，不止是我们二级关心的本币交易那么简单。至于本币互换及交易，可以等中亚五国的西安峰会再看，从贸易占比和增速来看，五国都...全文 ,2023-04-17 08:19
MCchy4naG,"转发理由:转发微博  
原始用户: 中国政府网
转发内容: 【《求是》杂志发表习近平总书记重要文章《加快构建新发展格局 把握未来发展主动权》】《求是》杂志发表习近平总书记重要文章《加快构建新发展格局 把握未来发展主动权》  原图 ",2023-04-16 06:25
MBVOU9frJ,"转发理由:知道了知道了，手机也能看涨幅榜。 说一亿遍了：半导体如果不怕踏空，就别买。 该涨的涨，该跌的跌，反正我坐车上手机看的头晕眼花只能挖槽挖槽，没你们那么激动。  
原始用户: 唐史主任司马迁
转发内容: 酒醒吃了三个跌停虽然调仓了才出门的，但还是很受伤🤕️  ",2023-04-14 12:30
MBV4DvYx6,酒醒吃了三个跌停虽然调仓了才出门的，但还是很受伤🤕️  ,2023-04-14 10:36
MBKKspVqm,今天有事要办，早上就不码东西了。简要来说，美国CPI出来后，不管5月加不加那25个点，都不重要。只要9-10月可以开启降息周期，那咱们的跨周期+逆周期留的后手就可以启用了。特斯拉昨晚的发布，没有展露太多的细节，但整体进度还是不错的，看市场是否有持续反馈。从场景来看，AI落地于机器人是迟早的...全文 ,2023-04-13 08:19
MBCoKDHr5,虽然不是幸灾乐祸，但有一说一，今天白酒开始跌后，持仓一下就流畅起来了  ,2023-04-12 11:03
MBeaa1c0F,中法联合声明很长，内容也很多。此外还有一些没有在联合声明中的，在非正式会晤中交换的意见。此外法外长在中国与伊朗外长举行了罕见的面对面会谈。从二级市场角度看，飞机订单换造船订单还是比较有看点的，一方面是造船业继续开拓欧洲市场，另一面从船型也可以确定未来欧洲是通过提高排放门槛来挤占航...全文 ,2023-04-09 21:22
MB9ax0ygT,咱们这扎堆的朋友，有很多是搞研发或者是管理的，这两年上市进程快，所以共性的问题是：自己公司的股权激励能不能参与。跑来问我这个的非常多，其实我不具备所有特定公司的分析能力，我把共性的部分聊一下。首先，咱们都是炒股的，必然会直接去权衡，钱锁在公司股权激励里，会不会跑不赢二级市场？这...全文 ,2023-04-09 08:39
MB0lEaT10,半导体板块，投研框架要自上而下。强政策——黑科技——新消费。现在半导体在体现强政策的阶段。未来3-5年我们的目标是完全拿下成熟制程，并且向先进制程进军。这个趋势不以个人、企业乃至行业的意志为转移的。半导体做不好，我们所有的优势产业都会被限制。所以，投入的资源、政策的强度、全社会的聚...全文 ,2023-04-08 10:11
MASNkywNm,今天还是站在一万亿上，轮动也不错，小普涨的意思，挺难得的。休息两天，下周再战！  ,2023-04-07 14:58
MARGMfqWj,会议强调，集成电路标委会要全面实施《国家标准化发展纲要》会议宣布了标委会委员名单，审议通过了集成电路标委会章程，讨论了集成电路标准体系和年度工作计划。工业和信息化部和市场监管总局有关司局负责同志，全国集成电路标委会委员、专家咨询委委员代表70余人参加会议。如何举国协调，举国协作...全文 原图 ,2023-04-07 12:09
MARf1egfe,今天药走得顺畅，港股没开门，资金只能在A股交易海外宽松预期。可惜这个手艺我不会。光热收政策催化还可以，算是赛道里少有的亮点，这个开得太高也不太好参与。半导体回调，Ai应用向上午还行。看下午怎么博弈吧，重点在下午。  ,2023-04-07 11:00
MAPY49eQB,法国人来，诚意还是有的。坊间传的人民币协议，按照一些可信报道来分析，只是允许企业使用人民币结算，和巴西的取代其他结算还是有所不同的。在航空航天、民用核能领域，中法一贯是有合作的，这次也都有实际项目落地。之后还要去广州，不知道是否有新的进展。感觉有点学默婶的意思，除了北京，还要走走...全文 ,2023-04-07 07:46
MAJGvds3i,三年前的段子，改都不用改，蔡经理依旧在故事的C位。  原图 ,2023-04-06 15:46
MAJsreJp5,今天盘面受小作文和辟谣小作文冲击，所以下午比较卷。其实从设备和材料的角度来看，只要是能来8台机器，不管是1980还是2050，本质上都差不多。反正都是拿着核心设备来扩产，只要产能能达成就行了。当然，从7nm角度来看，差别很大。但从成熟制程来看，差别不大。至于AI本身就是借势调整，明天再低开...全文 ,2023-04-06 15:11
MAIJKDe0h,不要冲太猛，都开始自己的账户抽自己的账户的血，这，。。。青翼蝠王jpg  ,2023-04-06 13:21
